,FEAT_A_probe,FEAT_Delta_t_angl[s],FEAT_Delta_t_anw[s],FEAT_F_angl[N],FEAT_F_anw[N],FEAT_T_Heiz[°C],FEAT_Thermocouple_0[°C],FEAT_WS0[µV],FEAT_WS_Int[µVs],FEAT_WS_angl[µV],FEAT_WS_anw[µV],FEAT_WS_delta_t_max[s],FEAT_WS_max[µV],FEAT_s0[mm],FEAT_s_angl[mm],FEAT_s_tot[mm],FEAT_t_angl[s],FEAT_t_anw[s],LABEL_weld_factor
49,408.852,6.600001225434244,2.600000123493373,55.24324825556592,17.20633821656718,210,217.5576019287109,319.028076171875,51265.35708177985,936.4948120117188,566.1598510742188,0.800000037997961,2599.534423828125,15.74736499786377,10.14236640930176,10.203200340271,19.80000094044954,67.60000321082771,1.0
50,401.4248,3.400001310929657,2.600000123493373,53.84694714753524,18.13497312652678,210,217.8836517333984,317.7669372558594,42203.99813285903,849.5870361328125,572.5304565429688,0.800000037997961,1579.630615234375,16.83983612060547,10.68879318237305,10.71096420288086,23.00000109244138,67.8000032203272,1.0
51,395.1106,8.000000930950046,2.200000104494393,55.14022060062575,17.61514886872859,210,218.0415191650391,327.0791931152344,46178.16562702572,894.3855590820312,565.028076171875,1.000000047497451,2161.647216796875,17.69440078735352,10.21747493743896,10.25572395324707,18.4000008739531,68.20000323932618,1.0
52,408.2699,5.000001244433225,2.200000104494393,53.76576974458784,17.66333059271759,210,217.8428344726562,324.7513732910156,45225.54478678918,887.9142456054688,573.5103149414062,1.000000047497451,1591.945922851562,17.4631175994873,10.44323539733887,10.47371387481689,21.40000101644546,68.20000323932618,1.0
53,413.1638,6.800001272931695,2.000000094994903,55.91557911464146,17.66926771576642,210,217.9593048095703,347.48828125,47103.68497605639,921.8964233398438,561.2928466796875,0.800000037997961,2460.47509765625,15.18458366394043,10.60031318664551,10.65293025970459,19.60000093095005,68.40000324882567,1.0
54,401.6196,4.400001149438321,1.800000085495412,51.14875269803134,19.66653299331665,210,217.8191680908203,357.2195739746094,22287.53887878221,887.9714965820312,828.2346801757812,0.800000037997961,1887.370727539062,15.09479808807373,10.24101638793945,10.26408100128174,22.00000104494393,3.200000151991844,0.0
55,396.1152,9.800001367926598,2.600000123493373,52.88171000653003,19.31849435659555,210,217.7190704345703,336.6431579589844,26046.44628550847,887.6978759765625,820.1942749023438,1.000000047497451,2605.0390625,17.52119827270508,10.13090705871582,10.16939163208008,16.60000078845769,2.600000123493373,0.0
56,392.084,9.600001434423028,2.000000094994903,53.12918790181478,21.37785482406616,210,217.6711578369141,325.2663879394531,23971.53326356792,885.4376220703125,826.1649169921875,1.200000056996942,2136.895263671875,17.9803638458252,10.47081565856934,10.49918270111084,16.80000079795718,3.200000151991844,0.0
57,403.9692,9.200001415424047,22.6000010734424,52.89057197999418,16.9682060418256,210,219.8374481201172,274.3847045898438,61556.6902377122,802.6026000976562,404.1123046875,1.000000047497451,1594.940185546875,23.01401138305664,15.74331378936768,15.73786544799805,17.80000084545463,142.6000067731366,1.0
58,403.0956,7.800001320429146,21.20000100694597,55.35710219542185,17.53264956414617,210,218.9628295898438,212.4372406005859,78529.15048094961,852.5210571289062,386.9196166992188,0.800000037997961,2970.887451171875,22.71375465393066,15.95860958099365,15.9945240020752,19.20000091195107,143.8000068301335,1.0
59,406.3192,6.800001244433226,19.80000094044954,55.8164519889682,18.60017922824408,210,219.0679016113281,219.2582244873047,77902.80976798556,836.783935546875,393.072265625,0.800000037997961,3321.585205078125,24.17123031616211,16.02824401855469,16.05513381958008,20.40000096894801,145.2000068966299,1.0
60,411.8356,8.200001367926596,21.40000101644546,55.12499667228536,17.43336282267876,210,219.1183471679688,224.6825408935547,79280.52309992074,882.0718994140625,397.6260681152344,0.800000037997961,3088.714599609375,22.21512031555176,15.80697727203369,15.83353233337402,18.80000089295208,143.600006820634,1.0
61,407.444,7.400001358427108,1.000000047497451,58.67987540460402,16.40874497786812,210,219.0543975830078,179.212646484375,25816.75340172952,782.9229125976562,690.9052124023438,0.800000037997961,2329.9169921875,18.85287284851074,10.24777030944824,10.34488296508789,18.60000088345259,4.600000218488276,0.0
62,418.5818,7.200001263432206,22.00000104494393,54.99028288716018,17.02951165312654,210,219.13623046875,219.6866455078125,79660.39984588383,863.3656005859375,399.4434509277344,0.800000037997961,2954.117919921875,22.51652526855469,15.69360446929932,15.72315979003906,19.80000094044954,143.0000067921355,1.0
63,415.95,10.00000154841691,5.600000265985727,56.53137606452493,13.82679530978203,210,219.863037109375,317.2455444335938,28607.24278305779,880.609130859375,169.2729797363281,0.800000037997961,2835.273193359375,21.2253589630127,15.5452938079834,-14.98757171630859,17.00000080745667,1.600000075995922,0.0
64,402.4656,8.400001491419971,5.600000265985727,56.94648595010081,10.94368900358677,210,219.36474609375,210.0641174316406,32266.11172330233,838.29150390625,147.5829162597656,0.800000037997961,3186.1220703125,23.67194938659668,15.74557685852051,-3.357587337493896,18.60000088345259,1.600000075995922,0.0
65,402.9467,8.200001329928636,5.600000265985731,57.8182201385498,13.72675767540932,210,219.1994323730469,219.1443939208984,31790.97377246282,836.5590209960938,156.55126953125,0.800000037997961,3215.82177734375,21.47323989868164,15.13713550567627,-15.11125659942627,18.80000089295208,1.600000075995922,0.0
66,417.1176,7.600001358427107,5.600000265985727,55.53544203768072,12.99383349716663,210,218.9580535888672,202.1680145263672,32177.60847697111,901.314208984375,146.8743133544922,0.800000037997961,3067.186767578125,23.79131889343262,15.67772006988525,-4.163694858551025,19.40000092145056,1.600000075995922,0.0
67,406.852,8.400001386925577,5.600000265985731,54.96703494492397,9.606128208339214,210,219.0334930419922,209.5942077636719,31023.77991180716,858.951171875,148.822265625,0.800000037997961,2922.22021484375,24.38324546813965,15.69049835205078,9.46683120727539,18.60000088345259,1.600000075995922,0.0
68,397.947060918603,9.212504555482774,2.5449222959369844,52.93260663125396,19.151181833957036,210,217.723091848638,338.875346718777,26482.33915430488,884.1361833537883,806.4958062203607,1.0183593233495807,2512.8716361636452,17.40983252176262,10.155239082561717,10.19271751451445,17.242575443282224,5.151939466939371,0.0
69,401.06631629715923,4.701720539141046,1.811604677322257,51.26366340347048,19.76582894525143,210,217.81058009831438,355.36555565514436,22385.249211511902,887.8244736917698,828.1145863968662,0.8232092216516511,1901.8488788144075,15.26222714416241,10.254350020994968,10.277722296955384,21.698281657445957,3.200000151991844,0.0
70,398.29155187173143,6.214868721005864,1.8698026838917876,51.83995028109991,20.26380651734147,210,217.7675105917141,346.06749744282115,22875.274769580992,887.0871414993943,827.5123059686922,0.9396052347907121,1974.4580283312403,16.101897978912344,10.321219315127806,10.346134545061785,20.185133486638165,3.200000151991844,0.0
71,399.8429480961671,5.368853702633688,1.8372636449613995,51.517743005428834,19.985382692199984,210,217.7915911476401,351.26612701763895,22601.296988368755,887.4993906867212,827.8490464767361,0.8745271569299358,1933.8615872829046,15.632430318572514,10.2838320798376,10.307884630061862,21.03114849882826,3.200000151991844,0.0
72,406.6786056361084,6.851705658094625,4.485227272345343,55.85948182203741,12.97262433464128,210,218.86871311054742,256.79037719908854,31810.544403965127,841.5758867482776,309.6537696565456,0.923863703958004,2695.2735720640794,21.391639977335146,14.089022842168282,0.9098512938015695,20.148296707953126,10.518184025119002,0.0
73,409.0327112486017,8.23005817259536,5.60000026598573,55.08778110111159,10.325775090186685,210,219.01746751362384,208.0166688836376,31268.886572013187,867.9503099233698,148.40846405197595,0.800000037997961,2953.015316174297,24.257503091677496,15.687783874216441,6.571312044624766,18.769944099800778,1.600000075995922,0.0
74,406.99156341857133,7.857495644375339,4.058724717599218,57.1386641578472,15.813486846314262,210,218.72220647711285,272.4071900136473,32686.91376272006,849.6444347288524,381.6464384495554,0.8856264573527671,2759.3469602518053,19.848745663194048,13.119074933693486,-4.165215475186807,18.885627312306887,13.930204463088014,0.0
75,416.94643048007833,7.609347225114361,5.600000265985727,55.551926320309526,12.969883029739927,210,218.96280470549402,202.2602594174092,32178.64240122623,900.5779568568576,146.88259148847462,0.800000037997961,3068.576209201847,23.789924379292682,15.67851279537898,-4.154277643332313,19.39065505587307,1.600000075995922,0.0
76,392.2908162297498,9.610262208435088,2.0307824287277407,53.11649132381091,21.27220162710793,210,217.67361593941578,325.85006046430175,24077.98436702507,885.5535818815766,825.8585998443887,1.1897392790859962,2160.91286028191,17.956806867093405,10.453377026132042,10.482263137332787,16.78974002004623,3.1692178182590065,0.0
77,415.1449063072849,4.407474315286759,2.000000094994903,54.140083047650464,17.77414600472451,210,217.8439508231281,356.5753489658556,31572.873597625305,853.4882576535751,673.8249669789651,1.1496264007098511,1739.1779008707124,16.653288861783793,10.40290443254182,10.431611413463711,22.441407026336762,30.40000144392252,0.0
78,414.0980361874288,5.546459907330267,2.000000094994903,54.93589254674896,18.08877458652183,210,217.9356061758306,351.6184519583415,32452.3765066764,858.6777711234257,677.0553369656968,1.0926771190789661,1895.3965787926963,17.0436328025222,10.410741519170745,10.440785910059633,21.131573548826413,30.40000144392252,0.0
